City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Batagay-Alyta,RU,2020-09-04 18:37:18,67.8,130.41,44.78,80,100,3.62
118,Kaitangata,NZ,2020-09-04 18:37:18,-46.28,169.85,46.0,75,3,7.2
119,Tiksi,RU,2020-09-04 18:37:18,71.69,128.87,46.29,84,88,8.21
120,Gat,IL,2020-09-04 18:36:33,31.61,34.76,93.0,75,0,5.17
121,Beringovskiy,RU,2020-09-04 18:37:19,63.05,179.32,46.09,66,99,14.36
122,Bambanglipuro,ID,2020-09-04 18:37:19,-7.95,110.28,76.66,84,68,9.64
123,Kafanchan,NG,2020-09-04 18:37:19,9.58,8.3,71.02,94,100,2.66
124,Altamont,US,2020-09-04 18:33:52,42.21,-121.74,82.99,33,1,3.36
125,Ameca,MX,2020-09-04 18:37:19,20.55,-104.03,80.01,54,75,3.0
126,Georgetown,MY,2020-09-04 18:37:20,5.41,100.34,78.8,88,20,3.36
127,Thompson,CA,2020-09-04 18:37:20,55.74,-97.86,53.6,71,75,12.75
128,Gela,IT,2020-09-04 18:37:20,37.08,14.23,78.8,65,0,10.29
129,Shache,CN,2020-09-04 18:37:20,38.42,77.24,69.89,21,100,9.42
130,Ancud,CL,2020-09-04 18:37:21,-41.87,-73.82,54.0,70,100,1.01
131,Olafsvik,IS,2020-09-04 18:37:21,64.89,-23.71,48.0,71,20,7.61
132,Faya,SA,2020-09-04 18:37:21,18.39,42.45,75.2,20,0,11.41
133,Usak,TR,2020-09-04 18:37:21,38.5,29.42,69.06,66,0,8.01
134,Guerrero Negro,MX,2020-09-04 18:37:22,27.98,-114.06,81.59,55,0,12.93
135,Innisfail,AU,2020-09-04 18:37:22,-17.53,146.03,66.27,89,20,3.24
136,Belyy Yar,RU,2020-09-04 18:37:22,53.6,91.39,53.6,87,75,11.18
137,Tuktoyaktuk,CA,2020-09-04 18:37:22,69.45,-133.04,37.4,86,75,14.99
138,Tanout,NE,2020-09-04 18:37:22,14.97,8.89,89.82,36,100,3.91
139,Skowhegan,US,2020-09-04 18:32:50,44.77,-69.72,78.01,37,82,7.25
140,College,US,2020-09-04 18:37:23,64.86,-147.8,48.2,87,90,8.05
141,Wajima,JP,2020-09-04 18:37:23,37.4,136.9,79.45,84,94,11.7
142,Vanimo,PG,2020-09-04 18:37:23,-2.67,141.3,78.3,83,100,2.75
143,Lebedinyy,RU,2020-09-04 18:37:23,58.52,125.52,43.48,97,100,3.85
144,Stokmarknes,NO,2020-09-04 18:37:24,68.56,14.91,55.4,100,75,1.12
145,Maceio,BR,2020-09-04 18:37:24,-9.67,-35.74,80.6,57,20,13.87
146,Burlington,US,2020-09-04 18:36:47,39.88,-74.64,88.0,55,20,9.17
147,Swan River,CA,2020-09-04 18:37:24,52.11,-101.27,63.48,49,2,11.97
148,Nikolskoye,RU,2020-09-04 18:37:25,59.7,30.79,63.0,77,99,2.24
149,Pemba,MZ,2020-09-04 18:37:25,-12.97,40.52,75.2,78,40,11.41
150,Obera,AR,2020-09-04 18:37:26,-27.49,-55.12,74.79,36,0,5.46
151,Katsuura,JP,2020-09-04 18:37:26,35.13,140.3,82.4,78,0,8.05
152,Venado Tuerto,AR,2020-09-04 18:37:26,-33.75,-61.97,63.0,67,100,8.01
153,Evensk,RU,2020-09-04 18:37:26,61.95,159.23,40.1,71,0,4.65
154,Kruisfontein,ZA,2020-09-04 18:37:27,-34.0,24.73,69.01,43,0,4.0
155,Poum,NC,2020-09-04 18:37:27,-20.23,164.02,68.9,69,65,15.7
156,Esperance,AU,2020-09-04 18:37:27,-33.87,121.9,51.8,100,0,13.87
157,Nalut,LY,2020-09-04 18:37:27,30.33,10.85,92.21,11,68,9.98
158,Portland,US,2020-09-04 18:32:45,45.52,-122.68,77.0,50,1,4.7
159,Abu Kamal,SY,2020-09-04 18:37:28,34.45,40.92,86.65,13,0,2.89
160,San Matias,BO,2020-09-04 18:37:28,-16.37,-58.4,104.85,12,16,6.26
161,Juneau,US,2020-09-04 18:35:20,58.3,-134.42,53.6,87,75,10.29
162,Bouillante,GP,2020-09-04 18:37:28,16.13,-61.77,86.0,70,75,16.11
163,Hofn,IS,2020-09-04 18:37:28,64.25,-15.21,48.2,63,75,29.97
164,La Ronge,CA,2020-09-04 18:37:28,55.1,-105.28,59.0,54,40,12.75
165,Kashi,CN,2020-09-04 18:37:29,39.45,75.98,75.2,14,54,13.42
166,Hobyo,SO,2020-09-04 18:37:29,5.35,48.53,76.93,79,77,28.39
167,Upernavik,GL,2020-09-04 18:37:29,72.79,-56.15,36.25,73,0,10.18
168,Playa Vicente,MX,2020-09-04 18:37:29,17.83,-95.82,77.5,91,100,8.79
169,Luziania,BR,2020-09-04 18:34:34,-16.25,-47.95,86.0,27,0,3.36
170,Uray,RU,2020-09-04 18:37:30,60.12,64.78,42.69,82,2,5.66
171,Chapultepec,MX,2020-09-04 18:37:30,19.2,-99.56,62.6,55,75,12.75
172,Chokurdakh,RU,2020-09-04 18:37:30,70.63,147.92,32.83,94,0,10.29
173,Matamoros,MX,2020-09-04 18:35:21,25.53,-103.25,86.0,40,5,4.7
174,Dikson,RU,2020-09-04 18:37:31,73.51,80.55,42.33,89,100,10.45
175,Puerto Colombia,CO,2020-09-04 18:37:31,10.99,-74.95,77.0,94,40,3.36
176,Alugan,PH,2020-09-04 18:37:31,12.22,125.48,78.37,90,98,5.75
177,Manavalakurichi,IN,2020-09-04 18:37:31,8.13,77.3,84.2,83,40,2.24
178,Geraldton,AU,2020-09-04 18:37:32,-28.77,114.6,48.2,93,0,8.12
179,Vilhena,BR,2020-09-04 18:37:32,-12.74,-60.15,93.2,30,49,8.05
180,Sirnak,TR,2020-09-04 18:37:32,37.52,42.46,74.44,20,0,7.05
181,Temirgoyevskaya,RU,2020-09-04 18:37:32,45.11,40.28,79.79,33,100,15.14
182,Nemuro,JP,2020-09-04 18:37:33,43.32,145.57,62.55,92,96,9.24
183,La Romana,DO,2020-09-04 18:37:33,18.43,-68.97,84.2,74,90,9.17
184,Kavaratti,IN,2020-09-04 18:37:33,10.57,72.64,82.56,76,92,1.32
185,Disna,BY,2020-09-04 18:37:33,55.57,28.2,57.51,82,100,4.41
186,Yinchuan,CN,2020-09-04 18:37:33,38.47,106.27,73.0,21,100,2.24
187,Boyolangu,ID,2020-09-04 18:37:34,-8.12,111.89,73.8,90,48,5.7
188,Kargil,IN,2020-09-04 18:37:34,34.57,76.1,55.15,53,11,4.16
189,Alihe,CN,2020-09-04 18:37:34,50.57,123.72,52.84,94,100,10.56
190,Constitucion,CL,2020-09-04 18:37:34,-35.33,-72.42,56.35,57,91,4.97
191,Iquitos,PE,2020-09-04 18:34:31,-3.75,-73.25,87.8,66,40,4.7
192,San Carlos De Bariloche,AR,2020-09-04 18:35:22,-41.15,-71.31,50.0,29,100,13.87
193,Port Hardy,CA,2020-09-04 18:37:35,50.7,-127.42,55.4,100,90,4.7
194,Yar-Sale,RU,2020-09-04 18:37:35,66.83,70.83,40.75,79,0,10.38
195,Mahanoro,MG,2020-09-04 18:37:35,-19.9,48.8,65.19,82,4,10.4
196,Vestmanna,FO,2020-09-04 18:37:36,62.16,-7.17,48.2,100,100,17.22
197,Ponta Do Sol,PT,2020-09-04 18:37:36,32.67,-17.1,75.2,69,40,10.29
198,Severo-Kurilsk,RU,2020-09-04 18:37:36,50.68,156.12,49.46,81,18,6.26
199,Inhambane,MZ,2020-09-04 18:37:36,-23.86,35.38,69.01,77,20,4.7
200,Zhuhai,CN,2020-09-04 18:37:38,22.28,113.57,84.99,89,20,6.93
201,Tasiilaq,GL,2020-09-04 18:37:38,65.61,-37.64,42.8,60,75,17.22
