City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
265,Cabo San Lucas,MX,93.2,22.89,-109.91,Hotel Tesoro Los Cabos
267,Hami,CN,70.18,42.8,93.45,Laoyutang Resort
269,Fortuna,US,62.01,40.6,-124.16,Super 8 by Wyndham Fortuna
270,Biak,ID,76.3,-0.91,122.88,Kost Ariz
271,Lubliniec,PL,66.2,50.67,18.68,Hotel Zamek Lubliniec
272,Cascais,PT,82.99,38.7,-9.42,Hotel Vila Galé Cascais
273,Komsomolskiy,UZ,69.8,40.43,71.72,Ikathouse
275,Tete,MZ,75.2,-16.16,33.59,Zambeze Paraíso Misterioso
276,Chicama,PE,71.98,-7.84,-79.15,Hospedaje Punta Cana PERU
277,Miri,MY,78.8,4.41,114.01,"Mega Hotel, Miri"
278,Belmonte,BR,78.8,-15.86,-38.88,Pousada Monte Carmelo O Pão
279,Xinzhi,CN,72.34,36.5,111.7,Mingyue Hotel
281,Roma,US,73.4,43.21,-75.46,Wingate By Wyndham Rome
282,Hamilton,US,81.0,39.18,-84.53,Six Acres Bed & Breakfast
283,Aksarayskiy,RU,69.01,46.79,48.01,
284,Victoria,HK,84.0,22.29,114.16,Mini Hotel Central
285,Trinidad,BO,91.4,-14.83,-64.9,Hotel Piesta
286,Rabaul,PG,79.83,-4.2,152.17,Rabaul Hotel
287,Marrakesh,MA,96.8,31.63,-8.01,Les Jardins de La Koutoubia
290,Ranong,TH,80.04,9.97,98.63,Tinidee Hotel@Ranong
292,Suleja,NG,72.82,9.18,7.18,Capy Motel
293,Kamaishi,JP,75.18,39.27,141.88,Hotel Route Inn Kamaishi
294,Quixeramobim,BR,93.33,-5.2,-39.29,Hotel Veredas do Sertão
295,Manado,ID,75.2,1.49,124.85,Aryaduta Hotel
296,Vila Franca Do Campo,PT,71.6,37.72,-25.43,Pestana Bahia Praia
297,Bollnas,SE,60.01,61.35,16.39,Grand Hotel
298,Mayo,US,89.01,38.89,-76.51,Resorts Resource Group International
300,Iwanai,JP,72.45,42.97,140.51,いわない高原ホテル
303,Myrtle Beach,US,97.0,33.69,-78.89,Bay View Resort Myrtle Beach
305,Vao,NC,66.22,-22.67,167.48,Hotel Kou-Bugny
306,Lorengau,PG,81.9,-2.02,147.27,Lorengau Harbourside Hotel
309,Tshikapa,CD,82.36,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
313,Tecoanapa,MX,85.75,16.52,-98.75,Hotel Manglares
314,Dingle,PH,77.14,11.0,122.67,Camp Pasica
315,Bartow,US,96.01,27.9,-81.84,Holiday Inn Express & Suites Bartow
