City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
620,Bajil,15.06,43.29,94.33,38,50,8.12,scattered clouds
621,Fuxin,42.02,121.66,68.58,81,0,1.07,light rain
622,West Wendover,40.74,-114.07,75.2,23,1,4.7,clear sky
623,Port Moresby,-9.44,147.18,78.8,83,40,16.11,scattered clouds
624,Villa Carlos Paz,-31.42,-64.5,53.01,87,90,10.29,light intensity drizzle
625,Hoi An,15.88,108.33,82.4,78,20,3.36,few clouds
626,Alekseyevsk,57.84,108.35,50.32,80,100,2.57,overcast clouds
627,Pavullo Nel Frignano,44.33,10.84,82.99,50,4,3.89,clear sky
628,Nichinan,31.6,131.37,80.6,78,90,25.28,mist
629,Sabang,5.89,95.32,82.87,76,99,18.25,overcast clouds
630,Doka,13.52,35.77,80.55,72,23,2.04,few clouds
631,Sibi,29.54,67.88,100.74,16,0,7.25,clear sky
632,Tura,25.52,90.22,75.13,96,100,4.68,overcast clouds
633,Roald,62.58,6.13,57.2,71,40,8.05,scattered clouds
634,Sabha,27.04,14.43,100.76,11,0,11.59,clear sky
635,Kourou,5.16,-52.65,91.4,59,0,6.93,clear sky
636,Kambove,-10.88,26.6,72.55,21,51,4.0,broken clouds
637,Amparafaravola,-17.58,48.22,59.56,69,31,7.45,scattered clouds
638,Bairiki,1.33,172.98,82.4,74,75,11.41,broken clouds
639,Sao Felix Do Xingu,-6.64,-51.99,103.51,17,31,5.88,scattered clouds
640,Ende,-8.84,121.66,74.95,75,24,2.17,few clouds
641,Amga,60.9,131.96,48.81,93,78,3.09,broken clouds
642,Susanino,58.15,41.59,60.37,79,91,6.51,overcast clouds
643,Pionerskiy,54.95,20.23,62.6,67,20,8.95,few clouds
644,Katesh,-4.52,35.38,62.74,63,71,4.7,broken clouds
645,Inta,66.03,60.17,54.55,91,92,8.99,overcast clouds
646,Siocon,7.71,122.14,79.97,76,69,0.65,light rain
647,Vila,42.03,-8.16,84.0,45,0,11.01,clear sky
648,Qobustan,40.08,49.41,80.6,69,0,6.93,clear sky
649,Klyuchevsk,57.12,60.94,59.0,62,61,8.95,broken clouds
650,General Roca,-39.03,-67.58,51.8,62,0,2.24,clear sky
651,Lanzhou,36.06,103.79,70.0,53,75,4.36,broken clouds
652,Knoxville,35.96,-83.92,77.0,69,1,3.36,clear sky
653,Saquarema,-22.92,-42.51,84.2,62,86,10.29,overcast clouds
654,San Isidro,-12.12,-77.05,60.8,77,90,5.82,overcast clouds
655,Kenora,49.82,-94.43,62.6,72,40,12.75,scattered clouds
656,Maitum,6.04,124.5,79.63,80,61,3.62,broken clouds
657,Gunjur,13.2,-16.73,78.8,94,75,2.24,broken clouds
658,Bumbuna,9.05,-11.73,75.63,94,99,6.31,moderate rain
659,Saint-Georges,12.06,-61.75,87.8,70,40,21.92,scattered clouds
660,Kysyl-Syr,63.9,122.76,42.6,95,5,5.88,clear sky
661,Presidencia Roque Saenz Pena,-26.79,-60.44,65.7,72,100,11.7,overcast clouds
662,Pemangkat,1.17,108.97,76.69,80,100,5.03,overcast clouds
663,Bohuslav,49.55,30.87,73.92,28,98,6.02,overcast clouds
664,Ambunti,-4.24,142.84,73.35,96,95,1.59,overcast clouds
665,Cootamundra,-34.65,148.03,46.99,83,5,3.0,clear sky
666,Skelleftea,64.75,20.95,61.0,69,19,4.03,few clouds
